"tensor(0.9863, device='cuda:0')",tensor([1.8431])
"tensor(0.9857, device='cuda:0')",tensor([1.9216])
"tensor(0.9851, device='cuda:0')",tensor([2.])
"tensor(0.9844, device='cuda:0')",tensor([2.0784])
"tensor(0.9837, device='cuda:0')",tensor([2.1569])
"tensor(0.9829, device='cuda:0')",tensor([2.2353])
"tensor(0.9821, device='cuda:0')",tensor([2.3137])
"tensor(0.9813, device='cuda:0')",tensor([2.3922])
"tensor(0.9804, device='cuda:0')",tensor([2.4706])
"tensor(0.9794, device='cuda:0')",tensor([2.5490])
"tensor(0.9784, device='cuda:0')",tensor([2.6275])
"tensor(0.9774, device='cuda:0')",tensor([2.7059])
"tensor(0.9763, device='cuda:0')",tensor([2.7843])
"tensor(0.9752, device='cuda:0')",tensor([2.8627])
"tensor(0.9740, device='cuda:0')",tensor([2.9412])
"tensor(0.9727, device='cuda:0')",tensor([3.0196])
"tensor(0.9714, device='cuda:0')",tensor([3.0980])
"tensor(0.9700, device='cuda:0')",tensor([3.1765])
"tensor(0.9686, device='cuda:0')",tensor([3.2549])
"tensor(0.9671, device='cuda:0')",tensor([3.3333])
"tensor(0.9655, device='cuda:0')",tensor([3.4118])
"tensor(0.9639, device='cuda:0')",tensor([3.4902])
"tensor(0.9622, device='cuda:0')",tensor([3.5686])
"tensor(0.9604, device='cuda:0')",tensor([3.6471])
"tensor(0.9585, device='cuda:0')",tensor([3.7255])
"tensor(0.9566, device='cuda:0')",tensor([3.8039])
"tensor(0.9546, device='cuda:0')",tensor([3.8824])
"tensor(0.9525, device='cuda:0')",tensor([3.9608])
"tensor(0.9503, device='cuda:0')",tensor([4.0392])
"tensor(0.9481, device='cuda:0')",tensor([4.1176])
"tensor(0.9457, device='cuda:0')",tensor([4.1961])
"tensor(0.9433, device='cuda:0')",tensor([4.2745])
"tensor(0.9408, device='cuda:0')",tensor([4.3529])
"tensor(0.9382, device='cuda:0')",tensor([4.4314])
"tensor(0.9356, device='cuda:0')",tensor([4.5098])
"tensor(0.9328, device='cuda:0')",tensor([4.5882])
"tensor(0.9300, device='cuda:0')",tensor([4.6667])
"tensor(0.9271, device='cuda:0')",tensor([4.7451])
"tensor(0.9242, device='cuda:0')",tensor([4.8235])
"tensor(0.9211, device='cuda:0')",tensor([4.9020])
"tensor(0.9180, device='cuda:0')",tensor([4.9804])
"tensor(0.9148, device='cuda:0')",tensor([5.0588])
"tensor(0.9116, device='cuda:0')",tensor([5.1373])
"tensor(0.9083, device='cuda:0')",tensor([5.2157])
"tensor(0.9049, device='cuda:0')",tensor([5.2941])
"tensor(0.9015, device='cuda:0')",tensor([5.3725])
"tensor(0.8980, device='cuda:0')",tensor([5.4510])
"tensor(0.8945, device='cuda:0')",tensor([5.5294])
"tensor(0.8909, device='cuda:0')",tensor([5.6078])
"tensor(0.8873, device='cuda:0')",tensor([5.6863])
"tensor(0.8837, device='cuda:0')",tensor([5.7647])
"tensor(0.8800, device='cuda:0')",tensor([5.8431])
"tensor(0.8763, device='cuda:0')",tensor([5.9216])
"tensor(0.8727, device='cuda:0')",tensor([6.])
"tensor(0.8690, device='cuda:0')",tensor([6.0784])
"tensor(0.8653, device='cuda:0')",tensor([6.1569])
"tensor(0.8616, device='cuda:0')",tensor([6.2353])
"tensor(0.8579, device='cuda:0')",tensor([6.3137])
