"tensor(1.0695, device='cuda:0')",tensor([4.0392])
"tensor(0.8252, device='cuda:0')",tensor([4.1176])
"tensor(0.7801, device='cuda:0')",tensor([4.1961])
"tensor(1.1826, device='cuda:0')",tensor([4.2745])
"tensor(0.9175, device='cuda:0')",tensor([4.3529])
"tensor(0.7146, device='cuda:0')",tensor([4.4314])
"tensor(0.9723, device='cuda:0')",tensor([4.5098])
"tensor(0.6519, device='cuda:0')",tensor([4.5882])
"tensor(0.9388, device='cuda:0')",tensor([4.6667])
"tensor(0.7953, device='cuda:0')",tensor([4.7451])
"tensor(1.1391, device='cuda:0')",tensor([4.8235])
"tensor(0.7059, device='cuda:0')",tensor([4.9020])
"tensor(1.2102, device='cuda:0')",tensor([4.9804])
"tensor(0.3500, device='cuda:0')",tensor([5.0588])
"tensor(0.8121, device='cuda:0')",tensor([5.1373])
"tensor(0.7063, device='cuda:0')",tensor([5.2157])
"tensor(0.9892, device='cuda:0')",tensor([5.2941])
"tensor(0.9624, device='cuda:0')",tensor([5.3725])
"tensor(0.6267, device='cuda:0')",tensor([5.4510])
"tensor(0.9563, device='cuda:0')",tensor([5.5294])
"tensor(0.6725, device='cuda:0')",tensor([5.6078])
"tensor(1.1972, device='cuda:0')",tensor([5.6863])
"tensor(1.0776, device='cuda:0')",tensor([5.7647])
"tensor(0.8096, device='cuda:0')",tensor([5.8431])
"tensor(1.2075, device='cuda:0')",tensor([5.9216])
"tensor(0.7202, device='cuda:0')",tensor([6.])
"tensor(1.1960, device='cuda:0')",tensor([6.0784])
"tensor(1.1000, device='cuda:0')",tensor([6.1569])
"tensor(1.1752, device='cuda:0')",tensor([6.2353])
"tensor(0.8827, device='cuda:0')",tensor([6.3137])
"tensor(0.6847, device='cuda:0')",tensor([6.3922])
"tensor(0.8636, device='cuda:0')",tensor([6.4706])
"tensor(0.6285, device='cuda:0')",tensor([6.5490])
"tensor(1.0992, device='cuda:0')",tensor([6.6275])
"tensor(0.6785, device='cuda:0')",tensor([6.7059])
"tensor(0.9514, device='cuda:0')",tensor([6.7843])
"tensor(0.9728, device='cuda:0')",tensor([6.8627])
