"tensor(0.2535, device='cuda:0')",tensor([0.7804])
"tensor(-0.6835, device='cuda:0')",tensor([0.7882])
"tensor(-1.0722, device='cuda:0')",tensor([0.7961])
"tensor(0.1339, device='cuda:0')",tensor([0.8039])
"tensor(0.0792, device='cuda:0')",tensor([0.8118])
"tensor(0.0932, device='cuda:0')",tensor([0.8196])
"tensor(-0.6899, device='cuda:0')",tensor([0.8275])
"tensor(-0.1696, device='cuda:0')",tensor([0.8353])
"tensor(0.3326, device='cuda:0')",tensor([0.8431])
"tensor(-0.1728, device='cuda:0')",tensor([0.8510])
"tensor(-0.2925, device='cuda:0')",tensor([0.8588])
"tensor(-0.2117, device='cuda:0')",tensor([0.8667])
"tensor(-0.3530, device='cuda:0')",tensor([0.8745])
"tensor(0.1035, device='cuda:0')",tensor([0.8824])
"tensor(-0.5594, device='cuda:0')",tensor([0.8902])
"tensor(-0.4986, device='cuda:0')",tensor([0.8980])
"tensor(-0.4996, device='cuda:0')",tensor([0.9059])
"tensor(-0.0922, device='cuda:0')",tensor([0.9137])
"tensor(-0.6085, device='cuda:0')",tensor([0.9216])
"tensor(-0.4475, device='cuda:0')",tensor([0.9294])
"tensor(0.0948, device='cuda:0')",tensor([0.9373])
"tensor(-0.1021, device='cuda:0')",tensor([0.9451])
"tensor(-0.1530, device='cuda:0')",tensor([0.9529])
"tensor(-0.9715, device='cuda:0')",tensor([0.9608])
"tensor(-0.5026, device='cuda:0')",tensor([0.9686])
"tensor(-1.1216, device='cuda:0')",tensor([0.9765])
"tensor(0.2967, device='cuda:0')",tensor([0.9843])
"tensor(0.1359, device='cuda:0')",tensor([0.9922])
"tensor(-0.9500, device='cuda:0')",tensor([1.])
