"tensor(1.0137, device='cuda:0')",tensor([4.4314])
"tensor(1.0128, device='cuda:0')",tensor([4.5098])
"tensor(1.0118, device='cuda:0')",tensor([4.5882])
"tensor(1.0108, device='cuda:0')",tensor([4.6667])
"tensor(1.0098, device='cuda:0')",tensor([4.7451])
"tensor(1.0087, device='cuda:0')",tensor([4.8235])
"tensor(1.0076, device='cuda:0')",tensor([4.9020])
"tensor(1.0064, device='cuda:0')",tensor([4.9804])
"tensor(1.0052, device='cuda:0')",tensor([5.0588])
"tensor(1.0039, device='cuda:0')",tensor([5.1373])
"tensor(1.0026, device='cuda:0')",tensor([5.2157])
"tensor(1.0012, device='cuda:0')",tensor([5.2941])
"tensor(0.9998, device='cuda:0')",tensor([5.3725])
"tensor(0.9983, device='cuda:0')",tensor([5.4510])
"tensor(0.9968, device='cuda:0')",tensor([5.5294])
"tensor(0.9953, device='cuda:0')",tensor([5.6078])
"tensor(0.9937, device='cuda:0')",tensor([5.6863])
"tensor(0.9921, device='cuda:0')",tensor([5.7647])
"tensor(0.9904, device='cuda:0')",tensor([5.8431])
"tensor(0.9887, device='cuda:0')",tensor([5.9216])
"tensor(0.9869, device='cuda:0')",tensor([6.])
"tensor(0.9851, device='cuda:0')",tensor([6.0784])
"tensor(0.9833, device='cuda:0')",tensor([6.1569])
"tensor(0.9814, device='cuda:0')",tensor([6.2353])
"tensor(0.9795, device='cuda:0')",tensor([6.3137])
"tensor(0.9775, device='cuda:0')",tensor([6.3922])
"tensor(0.9755, device='cuda:0')",tensor([6.4706])
"tensor(0.9735, device='cuda:0')",tensor([6.5490])
"tensor(0.9714, device='cuda:0')",tensor([6.6275])
"tensor(0.9693, device='cuda:0')",tensor([6.7059])
"tensor(0.9672, device='cuda:0')",tensor([6.7843])
"tensor(0.9650, device='cuda:0')",tensor([6.8627])
"tensor(0.9628, device='cuda:0')",tensor([6.9412])
"tensor(0.9605, device='cuda:0')",tensor([7.0196])
"tensor(0.9582, device='cuda:0')",tensor([7.0980])
"tensor(0.9559, device='cuda:0')",tensor([7.1765])
"tensor(0.9536, device='cuda:0')",tensor([7.2549])
"tensor(0.9512, device='cuda:0')",tensor([7.3333])
"tensor(0.9488, device='cuda:0')",tensor([7.4118])
"tensor(0.9463, device='cuda:0')",tensor([7.4902])
"tensor(0.9438, device='cuda:0')",tensor([7.5686])
"tensor(0.9413, device='cuda:0')",tensor([7.6471])
"tensor(0.9388, device='cuda:0')",tensor([7.7255])
"tensor(0.9362, device='cuda:0')",tensor([7.8039])
"tensor(0.9336, device='cuda:0')",tensor([7.8824])
"tensor(0.9310, device='cuda:0')",tensor([7.9608])
"tensor(0.9283, device='cuda:0')",tensor([8.0392])
"tensor(0.9257, device='cuda:0')",tensor([8.1176])
"tensor(0.9230, device='cuda:0')",tensor([8.1961])
"tensor(0.9202, device='cuda:0')",tensor([8.2745])
"tensor(0.9175, device='cuda:0')",tensor([8.3529])
"tensor(0.9147, device='cuda:0')",tensor([8.4314])
"tensor(0.9119, device='cuda:0')",tensor([8.5098])
"tensor(0.9091, device='cuda:0')",tensor([8.5882])
"tensor(0.9062, device='cuda:0')",tensor([8.6667])
"tensor(0.9034, device='cuda:0')",tensor([8.7451])
"tensor(0.9005, device='cuda:0')",tensor([8.8235])
"tensor(0.8976, device='cuda:0')",tensor([8.9020])
"tensor(0.8946, device='cuda:0')",tensor([8.9804])
"tensor(0.8917, device='cuda:0')",tensor([9.0588])
"tensor(0.8887, device='cuda:0')",tensor([9.1373])
"tensor(0.8857, device='cuda:0')",tensor([9.2157])
"tensor(0.8827, device='cuda:0')",tensor([9.2941])
"tensor(0.8797, device='cuda:0')",tensor([9.3725])
"tensor(0.8767, device='cuda:0')",tensor([9.4510])
"tensor(0.8736, device='cuda:0')",tensor([9.5294])
"tensor(0.8706, device='cuda:0')",tensor([9.6078])
"tensor(0.8675, device='cuda:0')",tensor([9.6863])
"tensor(0.8644, device='cuda:0')",tensor([9.7647])
"tensor(0.8613, device='cuda:0')",tensor([9.8431])
"tensor(0.8582, device='cuda:0')",tensor([9.9216])
"tensor(0.8551, device='cuda:0')",tensor([10.])
